study	enzyme	abundance
Archour2014b	CYP3A43	0.144
Archour2014b	CYP3A43	0.131
Archour2014b	CYP3A43	0.191
Archour2014b	CYP3A43	0.230
Archour2014b	CYP3A43	0.212
Archour2014b	CYP3A43	0.240
Archour2014b	CYP3A43	0.283
Archour2014b	CYP3A43	0.312
Archour2014b	CYP3A43	0.306
Archour2014b	CYP3A43	0.364
Archour2014b	CYP3A43	0.340
Archour2014b	CYP3A43	0.362
Archour2014b	CYP3A43	0.419
Archour2014b	CYP3A43	0.415
Archour2014b	CYP3A43	0.468
Archour2014b	CYP3A43	0.578
Archour2014b	CYP3A43	0.560
Archour2014b	CYP3A43	0.559
Archour2014b	CYP3A43	0.779
Archour2014b	UGT1A1	22.728
Archour2014b	UGT1A1	5.336
Archour2014b	UGT1A1	15.582
Archour2014b	UGT1A1	35.143
Archour2014b	UGT1A1	38.834
Archour2014b	UGT1A1	95.163
Archour2014b	UGT1A1	122.667
Archour2014b	UGT1A1	141.414
Archour2014b	UGT1A3	26.389
Archour2014b	UGT1A3	26.186
Archour2014b	UGT1A3	37.685
Archour2014b	UGT1A3	44.544
Archour2014b	UGT1A3	56.162
Archour2014b	UGT1A3	34.636
Archour2014b	UGT1A3	47.219
Archour2014b	UGT1A3	60.921
Archour2014b	UGT1A3	64.477
Archour2014b	UGT1A3	77.027
Archour2014b	UGT1A3	77.975
Archour2014b	UGT1A3	92.150
Archour2014b	UGT1A3	135.878
Archour2014b	UGT1A3	134.490
Archour2014b	UGT1A3	184.263
Archour2014b	UGT1A3	204.706
Archour2014b	UGT1A3	277.444
Archour2014b	UGT1A3	305.050
Archour2014b	UGT1A3	340.733
Archour2014b	UGT1A3	492.749
Archour2014b	UGT1A4	12.859
Archour2014b	UGT1A4	26.780
Archour2014b	UGT1A4	24.240
Archour2014b	UGT1A4	39.143
Archour2014b	UGT1A4	46.273
Archour2014b	UGT1A4	54.402
Archour2014b	UGT1A4	48.323
Archour2014b	UGT1A4	64.429
Archour2014b	UGT1A4	62.463
Archour2014b	UGT1A4	69.306
Archour2014b	UGT1A4	62.227
Archour2014b	UGT1A4	74.810
Archour2014b	UGT1A4	83.193
Archour2014b	UGT1A4	96.928
Archour2014b	UGT1A4	87.563
Archour2014b	UGT1A4	99.028
Archour2014b	UGT1A4	102.754
Archour2014b	UGT1A6	28.018
Archour2014b	UGT1A6	35.928
Archour2014b	UGT1A6	39.670
Archour2014b	UGT1A6	46.613
Archour2014b	UGT1A6	65.039
Archour2014b	UGT1A6	51.085
Archour2014b	UGT1A6	55.539
Archour2014b	UGT1A6	76.285
Archour2014b	UGT1A6	76.471
Archour2014b	UGT1A6	83.482
Archour2014b	UGT1A6	86.650
Archour2014b	UGT1A6	100.537
Archour2014b	UGT1A6	100.757
Archour2014b	UGT1A6	116.559
Archour2014b	UGT1A6	143.198
Archour2014b	UGT1A6	165.096
Archour2014b	UGT1A6	205.386
Archour2014b	UGT1A6	274.653
Archour2014b	UGT1A6	273.333
Archour2014b	UGT1A6	281.242
Archour2014b	UGT1A9	9.899
Archour2014b	UGT1A9	16.623
Archour2014b	UGT1A9	19.196
Archour2014b	UGT1A9	30.814
Archour2014b	UGT1A9	25.836
Archour2014b	UGT1A9	30.544
Archour2014b	UGT1A9	40.790
Archour2014b	UGT1A9	44.617
Archour2014b	UGT1A9	58.402
Archour2014b	UGT1A9	50.172
Archour2014b	UGT1A9	55.795
Archour2014b	UGT1A9	70.918
Archour2014b	UGT1A9	120.422
Archour2014b	UGT2B4	17.081
Archour2014b	UGT2B4	48.142
Archour2014b	UGT2B4	31.900
Archour2014b	UGT2B4	30.985
Archour2014b	UGT2B4	37.946
Archour2014b	UGT2B4	49.462
Archour2014b	UGT2B4	50.327
Archour2014b	UGT2B4	65.433
Archour2014b	UGT2B4	75.848
Archour2014b	UGT2B4	76.763
Archour2014b	UGT2B4	85.163
Archour2014b	UGT2B4	88.381
Archour2014b	UGT2B4	102.133
Archour2014b	UGT2B4	98.932
Archour2014b	UGT2B4	107.027
Archour2014b	UGT2B4	118.408
Archour2014b	UGT2B4	124.048
Archour2014b	UGT2B4	134.632
Archour2014b	UGT2B7	26.652
Archour2014b	UGT2B7	32.190
Archour2014b	UGT2B7	35.983
Archour2014b	UGT2B7	39.083
Archour2014b	UGT2B7	46.094
Archour2014b	UGT2B7	46.229
Archour2014b	UGT2B7	62.166
Archour2014b	UGT2B7	71.599
Archour2014b	UGT2B7	80.711
Archour2014b	UGT2B7	82.913
Archour2014b	UGT2B7	87.773
Archour2014b	UGT2B7	95.800
Archour2014b	UGT2B7	106.266
Archour2014b	UGT2B7	88.603
Archour2014b	UGT2B7	96.732
Archour2014b	UGT2B7	108.063
Archour2014b	UGT2B7	126.641
