study	pk	pktype	unit	tissue	interventions	substance_name	individual_pk	value	group_pk	mean	se	cv	time	time_unit	sd	min	max	median
Abernethy1985	52700	clearance	l/h/kg	plasma	2170	caffeine	7139.0	4.89e-02										
Abernethy1985	52702	clearance	l/h/kg	plasma	2170	caffeine	7140.0	5.11e-02										
Abernethy1985	52704	clearance	l/h/kg	plasma	2170	caffeine	7141.0	5.11e-02										
Abernethy1985	52706	clearance	l/h/kg	plasma	2170	caffeine	7142.0	5.13e-02										
Abernethy1985	52708	clearance	l/h/kg	plasma	2170	caffeine	7143.0	5.60e-02										
Abernethy1985	52710	clearance	l/h/kg	plasma	2170	caffeine	7144.0	5.87e-02										
Abernethy1985	52712	clearance	l/h/kg	plasma	2170	caffeine	7145.0	6.22e-02										
Abernethy1985	52714	clearance	l/h/kg	plasma	2170	caffeine	7146.0	7.28e-02										
Abernethy1985	52716	clearance	l/h/kg	plasma	2170	caffeine	7147.0	1.06e-01										
Abernethy1985	52718	clearance	l/h/kg	plasma	2170	caffeine	7148.0	4.87e-02										
Abernethy1985	52720	clearance	l/h/kg	plasma	2170	caffeine	7149.0	6.08e-02										
Abernethy1985	52722	clearance	l/h/kg	plasma	2170	caffeine	7150.0	8.08e-02										
Abernethy1985	52724	clearance	l/h/kg	plasma	2170	caffeine	7151.0	8.63e-02										
Abernethy1985	52726	clearance	l/h/kg	plasma	2170	caffeine	7152.0	1.11e-01										
Abernethy1985	52728	clearance	l/h/kg	plasma	2170	caffeine	7153.0	1.30e-01										
Abernethy1985	52730	clearance	l/h/kg	plasma	2170	caffeine	7154.0	1.32e-01										
Abernethy1985	52732	clearance	l/h/kg	plasma	2170	caffeine	7155.0	1.31e-01										
Abernethy1985	52734	clearance	l/h/kg	plasma	2170	caffeine	7156.0	1.57e-01										
Abernethy1985	52735	vd	l/kg	plasma	2170	caffeine	7157.0	5.76e-01										
Abernethy1985	52736	vd	l/kg	plasma	2170	caffeine	7158.0	6.12e-01										
Abernethy1985	52737	vd	l/kg	plasma	2170	caffeine	7159.0	6.56e-01										
Abernethy1985	52738	vd	l/kg	plasma	2170	caffeine	7160.0	6.66e-01										
Abernethy1985	52739	vd	l/kg	plasma	2170	caffeine	7161.0	6.63e-01										
Abernethy1985	52740	vd	l/kg	plasma	2170	caffeine	7162.0	7.07e-01										
Abernethy1985	52741	vd	l/kg	plasma	2170	caffeine	7163.0	7.22e-01										
Abernethy1985	52742	vd	l/kg	plasma	2170	caffeine	7164.0	7.22e-01										
Abernethy1985	52743	vd	l/kg	plasma	2170	caffeine	7165.0	8.40e-01										
Abernethy1985	52744	vd	l/kg	plasma	2170	caffeine	7166.0	5.33e-01										
Abernethy1985	52745	vd	l/kg	plasma	2170	caffeine	7167.0	6.05e-01										
Abernethy1985	52746	vd	l/kg	plasma	2170	caffeine	7168.0	6.68e-01										
Abernethy1985	52747	vd	l/kg	plasma	2170	caffeine	7169.0	6.92e-01										
Abernethy1985	52748	vd	l/kg	plasma	2170	caffeine	7170.0	7.09e-01										
Abernethy1985	52749	vd	l/kg	plasma	2170	caffeine	7171.0	7.16e-01										
Abernethy1985	52750	vd	l/kg	plasma	2170	caffeine	7172.0	7.96e-01										
Abernethy1985	52751	vd	l/kg	plasma	2170	caffeine	7173.0	8.35e-01										
Abernethy1985	52752	vd	l/kg	plasma	2170	caffeine	7174.0	1.21e+00										
Abernethy1985	52754	clearance	l/h/kg	plasma	2170	caffeine			1783.0	6.30e-02	6.00e-03	2.86e-01						
Abernethy1985	52755	vd	l/kg	plasma	2170	caffeine			1783.0	6.90e-01	3.00e-02							
Abernethy1985	52756	thalf	h	plasma	2170	caffeine			1783.0	7.88e+00	4.90e-01							
Abernethy1985	52757	tmax	h	plasma	2170	caffeine			1783.0	1.52e+00	2.60e-01							
Abernethy1985	52758	cmax	µg/ml	plasma	2170	caffeine			1783.0	3.99e+00	2.70e-01							
Abernethy1985	52760	clearance	l/h/kg	plasma	2170	caffeine			1784.0	1.05e-01	1.20e-02	3.43e-01						
Abernethy1985	52761	vd	l/kg	plasma	2170	caffeine			1784.0	7.50e-01	7.00e-02							
Abernethy1985	52762	thalf	h	plasma	2170	caffeine			1784.0	5.37e+00	6.20e-01							
Abernethy1985	52763	tmax	h	plasma	2170	caffeine			1784.0	7.90e-01	1.10e-01							
Begas2007	53816	ratio	-	urine	2185	(AFMU+1U+1X)/17U			1806.0	3.61e+00	1.00e-01	1.27e-01	6.0	h	4.60e-01	3.06e+00	4.64e+00	3.57e+00
Abernethy1985	52764	cmax	µg/ml	plasma	2170	caffeine			1784.0	4.09e+00	2.40e-01							
Begas2007	53818	ratio	-	urine	2185	(AFMU+1U+1X)/17U			1809.0	3.55e+00	9.49e-02	8.45e-02	6.0	h	3.00e-01	3.07e+00	3.99e+00	3.62e+00
Harder1988	55239	thalf	h	plasma	2224	caffeine			1847.0	2.90e+00	2.02e-01	2.41e-01			7.00e-01			
Begas2007	53820	ratio	-	urine	2185	(AFMU+1U+1X)/17U			1812.0	3.66e+00	1.75e-01	1.58e-01	6.0	h	5.80e-01	3.06e+00	4.64e+00	3.46e+00
Begas2007	53822	ratio	-	urine	2185	(AFMU+1U+1X)/17U			1807.0	6.36e+00	4.13e-01	3.11e-01	6.0	h	1.98e+00	3.84e+00	1.12e+01	5.83e+00
Begas2007	53824	ratio	-	urine	2185	(AFMU+1U+1X)/17U			1808.0	5.93e+00	3.86e-01	2.16e-01	6.0	h	1.28e+00	3.84e+00	1.12e+01	5.54e+00
Begas2007	53826	ratio	-	urine	2185	(AFMU+1U+1X)/17U			1809.0	6.75e+00	7.75e-01	3.63e-01	6.0	h	2.45e+00	4.60e+00	8.28e+00	6.12e+00
Harder1988	55241	auc_inf	mg*h/l	plasma	2224	caffeine			1847.0	2.06e+01	2.42e+00	4.08e-01			8.40e+00			
Begas2007	53828	ratio	-	urine	2185	17U/17X			1806.0	1.98e+00	3.16e-01	7.32e-01	6.0	h	1.45e+00	5.20e-01	6.02e+00	1.41e+00
Begas2007	53830	ratio	-	urine	2185	17U/17X			1809.0	2.15e+00	4.05e-01	5.95e-01	6.0	h	1.28e+00	8.50e-01	4.37e+00	1.56e+00
Begas2007	53832	ratio	-	urine	2185	17U/17X			1812.0	1.84e+00	4.97e-01	8.97e-01	6.0	h	1.65e+00	5.20e-01	6.02e+00	1.27e+00
Begas2007	53834	ratio	-	urine	2185	17U/17X			1807.0	1.36e+00	1.67e-01	5.88e-01	6.0	h	8.00e-01	4.20e-01	3.80e+00	1.20e+00
Harder1988	55243	tmax	h	plasma	2224	caffeine			1847.0	8.30e-01	1.27e-01	5.30e-01			4.40e-01			
Begas2007	53836	ratio	-	urine	2185	17U/17X			1808.0	1.87e+00	2.50e-01	4.44e-01	6.0	h	8.30e-01	9.90e-01	3.80e+00	1.68e+00
Begas2007	53838	ratio	-	urine	2185	17U/17X			1809.0	8.90e-01	1.30e-01	4.61e-01	6.0	h	4.10e-01	4.20e-01	1.69e+00	7.90e-01
Begas2007	53840	ratio	-	urine	2185	1U/(1U+1X)			1806.0	5.30e-01	1.09e-02	9.43e-02	6.0	h	5.00e-02	4.70e-01	6.30e-01	5.30e-01
Begas2007	53842	ratio	-	urine	2185	1U/(1U+1X)			1809.0	5.30e-01	1.58e-02	9.43e-02	6.0	h	5.00e-02	4.70e-01	6.30e-01	5.30e-01
Harder1988	55245	cmax	µg/ml	plasma	2224	caffeine			1847.0	4.09e+00	2.48e-01	2.10e-01			8.60e-01			
Begas2007	53844	ratio	-	urine	2185	1U/(1U+1X)			1812.0	5.30e-01	1.51e-02	9.43e-02	6.0	h	5.00e-02	4.70e-01	6.20e-01	5.20e-01
Begas2007	53846	ratio	-	urine	2185	1U/(1U+1X)			1807.0	5.10e-01	8.34e-03	7.84e-02	6.0	h	4.00e-02	4.50e-01	6.00e-01	5.20e-01
Begas2007	53848	ratio	-	urine	2185	1U/(1U+1X)			1808.0	5.10e-01	1.21e-02	7.84e-02	6.0	h	4.00e-02	4.50e-01	5.70e-01	5.20e-01
Begas2007	53850	ratio	-	urine	2185	1U/(1U+1X)			1809.0	5.20e-01	1.58e-02	9.62e-02	6.0	h	5.00e-02	4.50e-01	6.00e-01	5.30e-01
Harder1988	55247	thalf	h	plasma	2224	caffeine			1847.0	3.20e+00	3.18e-01	3.44e-01			1.10e+00			
Harder1988	55249	auc_inf	mg*h/l	plasma	2224	caffeine			1847.0	2.14e+01	2.83e+00	4.58e-01			9.80e+00			
Harder1988	55251	tmax	h	plasma	2224	caffeine			1847.0	6.00e-01	5.77e-02	3.33e-01			2.00e-01			
Harder1988	55253	cmax	µg/ml	plasma	2224	caffeine			1847.0	4.33e+00	2.28e-01	1.82e-01			7.90e-01			
Harder1988	55255	thalf	h	plasma	2224	caffeine			1847.0	3.30e+00	3.18e-01	3.33e-01			1.10e+00			
Harder1988	55257	auc_inf	mg*h/l	plasma	2224	caffeine			1847.0	2.18e+01	2.51e+00	3.99e-01			8.70e+00			
Harder1988	55259	tmax	h	plasma	2224	caffeine			1847.0	1.10e+00	1.73e-01	5.45e-01			6.00e-01			
Harder1988	55261	cmax	µg/ml	plasma	2224	caffeine			1847.0	3.86e+00	1.59e-01	1.42e-01			5.50e-01			
Benowitz1995	53852	cmax	µg/ml	plasma	2186	caffeine			1814.0	3.20e+00	6.71e-01	4.69e-01			1.50e+00			
Benowitz1995	53854	cmax	µg/ml	plasma	2187	caffeine			1815.0	7.50e+00	3.78e-01	1.33e-01			1.00e+00			
Benowitz1995	53856	cmax	µg/ml	plasma	2186	paraxanthine			1814.0	1.40e+00	4.02e-01	6.43e-01			9.00e-01			
Benowitz1995	53858	cmax	µg/ml	plasma	2187	paraxanthine			1815.0	1.60e+00	1.13e-01	1.88e-01			3.00e-01			
Harder1988	55263	thalf	h	plasma	2224	caffeine			1847.0	3.40e+00	3.46e-01	3.53e-01			1.20e+00			
Benowitz1995	53860	cmax	µg/ml	plasma	2188	paraxanthine			1814.0	2.80e+00	3.13e-01	2.50e-01			7.00e-01			
Benowitz1995	53862	cmax	µg/ml	plasma	2189	paraxanthine			1815.0	5.60e+00	2.27e-01	1.07e-01			6.00e-01			
Patwardhan1980	56154	thalf	h	plasma	2321	caffeine			1868.0	1.07e+01	1.00e+00	2.80e-01			3.00e+00			
Chen1991	57333	recovery	-	urine	2339	codeine	7721.0	1.40e-01										
Patwardhan1980	56164	vd	l/kg	plasma	2321	caffeine			1867.0	7.00e-01	4.67e-02	2.00e-01			1.40e-01			
Bonati1982	54272	clearance	l/h	plasma	2199	caffeine			1818.0	4.26e+00	5.40e-01	2.54e-01	24.0	h				
Patwardhan1980	56156	vd	l/kg	plasma	2321	caffeine			1866.0	5.40e-01	4.99e-02	3.33e-01			1.80e-01			
Bonati1982	54273	kabs	1/h	plasma	2200	caffeine			1818.0	4.08e+01			24.0	h				
Patwardhan1980	56158	vd	l/kg	plasma	2321	caffeine			1867.0	6.90e-01	5.33e-02	2.32e-01			1.60e-01			
Bonati1982	54274	kel	1/h	plasma	2200	caffeine			1818.0	1.33e-01			24.0	h				
Patwardhan1980	56160	vd	l/kg	plasma	2321	caffeine			1868.0	7.20e-01	8.00e-02	3.33e-01			2.40e-01			
Chen1991	57335	recovery	-	urine	2339	codeine	7722.0	1.66e-01										
Bonati1982	54275	thalf	h	plasma	2200	caffeine			1818.0	5.20e+00			24.0	h				
Patwardhan1980	56162	vd	l/kg	plasma	2321	caffeine			1866.0	5.40e-01	3.61e-02	2.41e-01			1.30e-01			
Bonati1982	54277	auc_end	mg*h/l	plasma	2200	caffeine			1818.0	1.14e+02			24.0	h				
Bonati1982	54278	vd	l	plasma	2200	caffeine			1818.0	4.65e+01			24.0	h				
Patwardhan1980	56166	vd	l/kg	plasma	2321	caffeine			1868.0	7.50e-01	9.33e-02	3.73e-01			2.80e-01			
Patwardhan1980	56168	clearance	l/h/kg	plasma	2321	caffeine			1866.0	7.80e-02	2.16e-02	1.00e+00			7.80e-02			
Bonati1982	54280	clearance	l/h	plasma	2200	caffeine			1818.0	2.79e+00	6.18e+00	4.43e+00	24.0	h				
Patwardhan1980	56170	clearance	l/h/kg	plasma	2321	caffeine			1867.0	7.80e-02	2.60e-02	1.00e+00			7.80e-02			
Patwardhan1980	56172	clearance	l/h/kg	plasma	2321	caffeine			1868.0	4.74e-02	1.58e-02	1.00e+00			4.74e-02			
Patwardhan1980	56174	plasma_binding	-	plasma	2321	caffeine			1866.0	3.14e-01	5.27e-03	6.05e-02			1.90e-02			
Patwardhan1980	56176	plasma_binding	-	plasma	2321	caffeine			1867.0	3.15e-01	1.50e-02	1.43e-01			4.50e-02			
Patwardhan1980	56178	plasma_binding	-	plasma	2321	caffeine			1868.0	2.93e-01	7.23e-03	7.39e-02			2.17e-02			
Patwardhan1980	56180	clearance_unbound	l/h/kg	plasma	2321	caffeine			1866.0	1.08e-01	9.98e-03	3.33e-01			3.60e-02			
Patwardhan1980	56182	clearance_unbound	l/h/kg	plasma	2321	caffeine			1867.0	1.18e-01	1.14e-02	2.89e-01			3.42e-02			
Patwardhan1980	56184	clearance_unbound	l/h/kg	plasma	2321	caffeine			1868.0	6.72e-02	5.60e-03	2.50e-01			1.68e-02			
Chen1991	57337	recovery	-	urine	2339	codeine	7723.0	1.32e-01										
Chen1991	57339	recovery	-	urine	2339	codeine	7724.0	1.52e-01										
Chen1991	57436	thalf	h	plasma	2339	codeine-6-glucuronide	7717.0	2.95e+00										
Chen1991	57437	thalf	h	plasma	2339	codeine-6-glucuronide	7718.0	2.31e+00										
Chen1991	57438	thalf	h	plasma	2339	codeine-6-glucuronide	7719.0	3.57e+00										
Chen1991	57439	thalf	h	plasma	2339	codeine-6-glucuronide	7720.0	2.75e+00										
Chen1991	57440	thalf	h	plasma	2339	codeine-6-glucuronide	7721.0	2.39e+00										
Chen1991	57441	thalf	h	plasma	2339	codeine-6-glucuronide	7722.0	4.71e+00										
Chen1991	57442	thalf	h	plasma	2339	codeine-6-glucuronide	7723.0	4.32e+00										
Chen1991	57443	thalf	h	plasma	2339	codeine-6-glucuronide	7724.0	2.76e+00										
Chen1991	57444	cmax	µmol/l	plasma	2339	codeine-6-glucuronide	7717.0	3.23e+00										
Chen1991	57445	cmax	µmol/l	plasma	2339	codeine-6-glucuronide	7718.0	4.12e+00										
Chen1991	57446	cmax	µmol/l	plasma	2339	codeine-6-glucuronide	7719.0	1.75e+00										
Chen1991	57447	cmax	µmol/l	plasma	2339	codeine-6-glucuronide	7720.0	2.78e+00										
Chen1991	57448	cmax	µmol/l	plasma	2339	codeine-6-glucuronide	7721.0	3.26e+00										
Chen1991	57449	cmax	µmol/l	plasma	2339	codeine-6-glucuronide	7722.0	2.13e+00										
Chen1991	57450	cmax	µmol/l	plasma	2339	codeine-6-glucuronide	7723.0	2.13e+00										
Chen1991	57451	cmax	µmol/l	plasma	2339	codeine-6-glucuronide	7724.0	3.43e+00										
Chen1991	57452	tmax	h	plasma	2339	codeine-6-glucuronide	7717.0	1.25e+00										
Chen1991	57453	tmax	h	plasma	2339	codeine-6-glucuronide	7718.0	7.50e-01										
Chen1991	57454	tmax	h	plasma	2339	codeine-6-glucuronide	7719.0	1.00e+00										
Chen1991	57455	tmax	h	plasma	2339	codeine-6-glucuronide	7720.0	2.00e+00										
Chen1991	57456	tmax	h	plasma	2339	codeine-6-glucuronide	7721.0	2.00e+00										
Chen1991	57457	tmax	h	plasma	2339	codeine-6-glucuronide	7722.0	1.25e+00										
Chen1991	57458	tmax	h	plasma	2339	codeine-6-glucuronide	7723.0	1.25e+00										
Chen1991	57459	tmax	h	plasma	2339	codeine-6-glucuronide	7724.0	7.50e-01										
Chen1991	57460	auc_inf	µmol*h/l	plasma	2339	codeine-6-glucuronide	7717.0	1.30e+01										
Chen1991	57461	auc_inf	µmol*h/l	plasma	2339	codeine-6-glucuronide	7718.0	1.56e+01										
Chen1991	57462	auc_inf	µmol*h/l	plasma	2339	codeine-6-glucuronide	7719.0	8.06e+00										
Chen1991	57463	auc_inf	µmol*h/l	plasma	2339	codeine-6-glucuronide	7720.0	1.54e+01										
Chen1991	57464	auc_inf	µmol*h/l	plasma	2339	codeine-6-glucuronide	7721.0	1.52e+01										
Chen1991	57465	auc_inf	µmol*h/l	plasma	2339	codeine-6-glucuronide	7722.0	1.41e+01										
Chen1991	57466	auc_inf	µmol*h/l	plasma	2339	codeine-6-glucuronide	7723.0	2.48e+01										
Chen1991	57467	auc_inf	µmol*h/l	plasma	2339	codeine-6-glucuronide	7724.0	1.34e+01										
Chen1991	57469	clearance_renal	l/h	plasma	2339	codeine-6-glucuronide	7717.0	3.43e+00										
Chen1991	57471	clearance_renal	l/h	plasma	2339	codeine-6-glucuronide	7718.0	3.28e+00										
Chen1991	57473	clearance_renal	l/h	plasma	2339	codeine-6-glucuronide	7719.0	6.06e+00										
Chen1991	57475	clearance_renal	l/h	plasma	2339	codeine-6-glucuronide	7720.0	1.94e+00										
Fuhr1993a	54898	auc_inf	mg*h/l	plasma	2215	caffeine	7390.0	3.32e+02										
Chen1991	57477	clearance_renal	l/h	plasma	2339	codeine-6-glucuronide	7721.0	3.17e+00										
Chen1991	57479	clearance_renal	l/h	plasma	2339	codeine-6-glucuronide	7722.0	3.58e+00										
Chen1991	57481	clearance_renal	l/h	plasma	2339	codeine-6-glucuronide	7723.0	2.17e+00										
Chen1991	57483	clearance_renal	l/h	plasma	2339	codeine-6-glucuronide	7724.0	2.74e+00										
ZylberKatz1984	56981	thalf	h	plasma	2333	caffeine	7705.0	3.10e+00										
ZylberKatz1984	56982	thalf	h	plasma	2333	caffeine	7706.0	4.80e+00										
ZylberKatz1984	56983	thalf	h	plasma	2333	caffeine	7707.0	1.21e+01										
ZylberKatz1984	56984	thalf	h	plasma	2333	caffeine	7708.0	8.10e+00										
ZylberKatz1984	56985	thalf	h	plasma	2333	caffeine	7709.0	7.80e+00										
ZylberKatz1984	56987	auc_inf	mg*h/l	plasma	2333	caffeine	7705.0	4.07e+01										
ZylberKatz1984	56989	auc_inf	mg*h/l	plasma	2333	caffeine	7706.0	8.58e+01										
ZylberKatz1984	56991	auc_inf	mg*h/l	plasma	2333	caffeine	7707.0	1.70e+02										
ZylberKatz1984	56993	auc_inf	mg*h/l	plasma	2333	caffeine	7708.0	9.54e+01										
ZylberKatz1984	56995	auc_inf	mg*h/l	plasma	2333	caffeine	7709.0	1.06e+02										
ZylberKatz1984	56997	clearance	l/h/kg	plasma	2333	caffeine	7705.0	9.60e-02										
ZylberKatz1984	56999	clearance	l/h/kg	plasma	2333	caffeine	7706.0	6.60e-02										
ZylberKatz1984	57001	clearance	l/h/kg	plasma	2333	caffeine	7707.0	2.40e-02										
ZylberKatz1984	57003	clearance	l/h/kg	plasma	2333	caffeine	7708.0	4.20e-02										
ZylberKatz1984	57005	clearance	l/h/kg	plasma	2333	caffeine	7709.0	6.00e-02										
Fuhr1993a	54900	auc_inf	mg*h/l	plasma	2215	caffeine	7391.0	1.09e+02										
ZylberKatz1984	57006	vd	l/kg	plasma	2333	caffeine	7705.0	4.40e-01										
ZylberKatz1984	57007	vd	l/kg	plasma	2333	caffeine	7706.0	4.70e-01										
Fuhr1993a	54902	auc_inf	mg*h/l	plasma	2215	caffeine	7392.0	1.22e+02										
ZylberKatz1984	57008	vd	l/kg	plasma	2333	caffeine	7707.0	4.20e-01										
ZylberKatz1984	57009	vd	l/kg	plasma	2333	caffeine	7708.0	5.00e-01										
ZylberKatz1984	57010	vd	l/kg	plasma	2333	caffeine	7709.0	5.90e-01										
Fuhr1993a	54904	auc_inf	mg*h/l	plasma	2215	caffeine	7393.0	1.05e+02										
Fuhr1993a	54906	auc_inf	mg*h/l	plasma	2215	caffeine	7394.0	1.48e+02										
Fuhr1993a	54908	auc_inf	mg*h/l	plasma	2215	caffeine	7395.0	1.71e+02										
Fuhr1993a	54910	auc_inf	mg*h/l	plasma	2215	caffeine	7396.0	1.08e+02										
Fuhr1993a	54912	auc_inf	mg*h/l	plasma	2215	caffeine	7397.0	2.52e+02										
Fuhr1993a	54914	auc_inf	mg*h/l	plasma	2215	caffeine	7398.0	9.70e+01										
Fuhr1993a	54916	auc_inf	mg*h/l	plasma	2215	caffeine	7399.0	1.05e+02										
Fuhr1993a	54918	auc_inf	mg*h/l	plasma	2215	caffeine	7400.0	5.10e+01										
Fuhr1993a	54920	auc_inf	mg*h/l	plasma	2215	caffeine	7401.0	1.62e+02										
Fuhr1993a	54922	clearance	l/h	plasma	2215	caffeine	7390.0	2.52e+00										
Fuhr1993a	54924	clearance	l/h	plasma	2215	caffeine	7391.0	7.80e+00										
Fuhr1993a	54926	clearance	l/h	plasma	2215	caffeine	7392.0	7.02e+00										
Fuhr1993a	54928	clearance	l/h	plasma	2215	caffeine	7393.0	7.98e+00										
Fuhr1993a	54930	clearance	l/h	plasma	2215	caffeine	7394.0	5.88e+00										
Fuhr1993a	54932	clearance	l/h	plasma	2215	caffeine	7395.0	4.44e+00										
Fuhr1993a	54934	clearance	l/h	plasma	2215	caffeine	7396.0	6.42e+00										
Fuhr1993a	54936	clearance	l/h	plasma	2215	caffeine	7397.0	3.30e+00										
Fuhr1993a	54938	clearance	l/h	plasma	2215	caffeine	7398.0	9.06e+00										
Fuhr1993a	54940	clearance	l/h	plasma	2215	caffeine	7399.0	8.64e+00										
Fuhr1993a	54942	clearance	l/h	plasma	2215	caffeine	7400.0	1.49e+01										
Fuhr1993a	54944	clearance	l/h	plasma	2215	caffeine	7401.0	5.34e+00										
Fuhr1993a	54945	thalf	h	plasma	2215	caffeine	7390.0	7.90e+00										
Fuhr1993a	54946	thalf	h	plasma	2215	caffeine	7391.0	2.60e+00										
Fuhr1993a	54947	thalf	h	plasma	2215	caffeine	7392.0	5.70e+00										
Fuhr1993a	54948	thalf	h	plasma	2215	caffeine	7393.0	3.90e+00										
Fuhr1993a	54949	thalf	h	plasma	2215	caffeine	7394.0	5.80e+00										
ZylberKatz1984	57011	thalf	h	plasma	2334	caffeine	7710.0	4.70e+00										
ZylberKatz1984	57012	thalf	h	plasma	2334	caffeine	7711.0	4.70e+00										
ZylberKatz1984	57013	thalf	h	plasma	2334	caffeine	7712.0	4.80e+00										
Perera2011	56186	auc_inf	mg*h/l	plasma	2322	caffeine			1871.0	1.55e+01	1.15e+00	4.06e-01	24.0	h	6.30e+00			
ZylberKatz1984	57015	auc_inf	mg*h/l	plasma	2334	caffeine	7710.0	6.82e+01										
ZylberKatz1984	57017	auc_inf	mg*h/l	plasma	2334	caffeine	7711.0	6.55e+01										
ZylberKatz1984	57019	auc_inf	mg*h/l	plasma	2334	caffeine	7712.0	3.90e+01										
Perera2011	56188	auc_end	mg*h/l	plasma	2322	caffeine			1871.0	1.41e+01	9.13e-01	3.55e-01	24.0	h	5.00e+00			
Perera2011	56190	clearance	l/h/kg	plasma	2322	caffeine			1871.0	9.50e-02	5.86e-03	3.38e-01	24.0	h	3.21e-02			
Perera2011	56192	thalf	h	plasma	2322	caffeine			1871.0	5.50e+00	3.47e-01	3.45e-01	24.0	h	1.90e+00			
Perera2011	56194	tmax	h	plasma	2322	caffeine			1871.0	1.00e+00			24.0	h				
ZylberKatz1984	57021	clearance	l/h/kg	plasma	2334	caffeine	7710.0	6.00e-02										
Perera2011	56196	cmax	µg/ml	plasma	2322	caffeine			1871.0	1.50e+00	9.13e-02	3.33e-01	24.0	h	5.00e-01			
Perera2011	56198	auc_inf	mg*h/l	saliva	2322	caffeine			1871.0	1.20e+01	9.49e-01	4.33e-01	24.0	h	5.20e+00			
Perera2011	56200	auc_end	mg*h/l	saliva	2322	caffeine			1871.0	1.09e+01	7.12e-01	3.58e-01	24.0	h	3.90e+00			
Perera2011	56202	clearance	l/h/kg	saliva	2322	caffeine			1871.0	1.21e-01	6.68e-03	3.03e-01	24.0	h	3.66e-02			
ZylberKatz1984	57023	clearance	l/h/kg	plasma	2334	caffeine	7711.0	6.00e-02										
Perera2011	56204	thalf	h	saliva	2322	caffeine			1871.0	5.30e+00	3.29e-01	3.40e-01	24.0	h	1.80e+00			
Perera2011	56206	tmax	h	saliva	2322	caffeine			1871.0	5.00e-01			24.0	h				
Perera2011	56208	cmax	µg/ml	saliva	2322	caffeine			1871.0	1.50e+00	1.28e-01	4.67e-01	24.0	h	7.00e-01			
Perera2011	56210	auc_end	mg*h/l	plasma	2322	paraxanthine			1871.0	9.70e+00	4.38e-01	2.47e-01	24.0	h	2.40e+00			
ZylberKatz1984	57025	clearance	l/h/kg	plasma	2334	caffeine	7712.0	1.20e-01										
Perera2011	56212	tmax	h	plasma	2322	paraxanthine			1871.0	6.00e+00			24.0	h				
Perera2011	56214	cmax	µg/ml	plasma	2322	paraxanthine			1871.0	5.00e-01	1.83e-02	2.00e-01	24.0	h	1.00e-01			
ZylberKatz1984	57026	vd	l/kg	plasma	2334	caffeine	7710.0	5.30e-01										
Perera2011	56216	auc_end	mg*h/l	saliva	2322	paraxanthine			1871.0	7.40e+00	2.74e-01	2.03e-01	24.0	h	1.50e+00			
Perera2011	56218	tmax	h	saliva	2322	paraxanthine			1871.0	8.00e+00			24.0	h				
ZylberKatz1984	57027	vd	l/kg	plasma	2334	caffeine	7711.0	5.20e-01										
Perera2011	56220	cmax	µg/ml	saliva	2322	paraxanthine			1871.0	4.00e-01	1.83e-02	2.50e-01	24.0	h	1.00e-01			
ZylberKatz1984	57028	vd	l/kg	plasma	2334	caffeine	7712.0	6.10e-01										
ZylberKatz1984	57029	thalf	h	plasma	2335	caffeine	7713.0	3.30e+00										
ZylberKatz1984	57030	thalf	h	plasma	2335	caffeine	7714.0	3.60e+00										
ZylberKatz1984	57031	thalf	h	plasma	2335	caffeine	7715.0	4.40e+00										
ZylberKatz1984	57032	thalf	h	plasma	2335	caffeine	7716.0	7.50e+00										
ZylberKatz1984	57034	auc_inf	mg*h/l	plasma	2335	caffeine	7713.0	3.26e+01										
ZylberKatz1984	57036	auc_inf	mg*h/l	plasma	2335	caffeine	7714.0	5.57e+01										
ZylberKatz1984	57038	auc_inf	mg*h/l	plasma	2335	caffeine	7715.0	3.09e+01										
ZylberKatz1984	57040	auc_inf	mg*h/l	plasma	2335	caffeine	7716.0	1.36e+02										
ZylberKatz1984	57042	clearance	l/h/kg	plasma	2335	caffeine	7713.0	1.20e-01										
ZylberKatz1984	57044	clearance	l/h/kg	plasma	2335	caffeine	7714.0	6.00e-02										
ZylberKatz1984	57046	clearance	l/h/kg	plasma	2335	caffeine	7715.0	1.20e-01										
Fuhr1993a	54950	thalf	h	plasma	2215	caffeine	7395.0	4.80e+00										
ZylberKatz1984	57048	clearance	l/h/kg	plasma	2335	caffeine	7716.0	6.00e-02										
ZylberKatz1984	57049	vd	l/kg	plasma	2335	caffeine	7713.0	5.50e-01										
ZylberKatz1984	57050	vd	l/kg	plasma	2335	caffeine	7714.0	4.00e-01										
ZylberKatz1984	57051	vd	l/kg	plasma	2335	caffeine	7715.0	7.10e-01										
Fuhr1993a	54951	thalf	h	plasma	2215	caffeine	7396.0	1.80e+00										
ZylberKatz1984	57052	vd	l/kg	plasma	2335	caffeine	7716.0	4.50e-01										
ZylberKatz1984	57053	thalf	h	saliva	2333	caffeine	7705.0	3.20e+00										
Fuhr1993a	54952	thalf	h	plasma	2215	caffeine	7397.0	6.40e+00										
ZylberKatz1984	57054	thalf	h	saliva	2333	caffeine	7706.0	4.90e+00										
Fuhr1993a	54953	thalf	h	plasma	2215	caffeine	7398.0	2.90e+00										
Fuhr1993a	54954	thalf	h	plasma	2215	caffeine	7399.0	4.70e+00										
Fuhr1993a	54955	thalf	h	plasma	2215	caffeine	7400.0	2.70e+00										
ZylberKatz1984	57055	thalf	h	saliva	2333	caffeine	7707.0	1.26e+01										
