sid	name	ntype	dtype	label	description	annotations	children
weight	weight	measurement_type	numeric	weight	Body weight of subject or animal. The mass or quantity of heaviness of an individual. It is expressed by units of kilograms or pounds.	"[{'term': '0004338', 'relation': 'BQB_IS', 'collection': 'efo', 'description': 'The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.', 'label': 'body weight', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0004338'}, {'term': 'C25208', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'The vertical force exerted by a mass as a result of gravity.', 'label': 'Weight', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C25208'}, {'term': 'CMO:0000012', 'relation': 'BQB_IS', 'collection': 'cmo', 'description': ""The heaviness or degree to which an entire organism's body is drawn to the earth by gravity."", 'label': 'body weight', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000012'}]"	[]
weight-change	weight (change)	measurement_type	numeric	weight (change)	Body weight change of subject or animal.	"[{'term': '0004338', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'efo', 'description': 'The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.', 'label': 'body weight', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0004338'}, {'term': 'C25208', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'The vertical force exerted by a mass as a result of gravity.', 'label': 'Weight', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C25208'}, {'term': 'CMO:0000012', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'cmo', 'description': ""The heaviness or degree to which an entire organism's body is drawn to the earth by gravity."", 'label': 'body weight', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000012'}]"	[]
weight-change-relative	weight (change relative)	measurement_type	numeric	weight (change relative)	Body weight relative change of subject or animal in percent.	"[{'term': '0004338', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'efo', 'description': 'The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.', 'label': 'body weight', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0004338'}, {'term': 'C25208', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'The vertical force exerted by a mass as a result of gravity.', 'label': 'Weight', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C25208'}, {'term': 'CMO:0000012', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'cmo', 'description': ""The heaviness or degree to which an entire organism's body is drawn to the earth by gravity."", 'label': 'body weight', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000012'}]"	[]
weight-categorial	weight (categorial)	measurement_type	categorical	weight (categorial)	body weight as class often defined via body mass index: below 18.5 (underweight); 18.5-24.9 (normal); 25.0-29.9 (overweight); 30.0 and above (obese).(see also `bmi`).	[{'term': '0004338', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'efo', 'description': 'The mass or quantity of heaviness of an individual. It is expressed by units of pounds or kilograms.', 'label': 'body weight', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0004338'}, {'term': 'C25208', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'The vertical force exerted by a mass as a result of gravity.', 'label': 'Weight', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C25208'}]	['obese', 'overweight', 'normal-weight', 'underweight', 'weight-categorial-not-reported']
obese	obese	choice	undefined	obese	Subject is obese. Weighing well above a person's ideal weight.Often defined via BMI 30.0 and above.See also `obesity index` and `body fat (percent)`.	"[{'term': 'C159658', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': ""Weighing well above a person's ideal weight, generally characterized as a Body Mass Index (BMI) of 30 and above."", 'label': 'Obese', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C159658'}, {'term': '0007041', 'relation': 'BQB_IS', 'collection': 'efo', 'description': ""quantification of weight/height relationships above a certain threshold that classes an individual as overweight. This threshold may vary based on an individual's ethnicity but is commonly considered to correspond in European populations to a BMI > 30."", 'label': 'obese body mass index status', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0007041'}]"	[]
overweight	overweight	choice	undefined	overweight	Subject is overweight. Often defined via BMI 25.0-29.9See also `obesity index` and `body fat (percent)`.	"[{'term': 'C94250', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A condition in which body mass index falls between 25 and 29.9.', 'label': 'Overweight', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C94250'}, {'term': '0005935', 'relation': 'BQB_IS', 'collection': 'efo', 'description': ""quantification of weight/height relationships above a certain threshold that classes an individual as overweight. This threshold may vary based on an individual's ethnicity but is commonly considered to correspond in European populations to a 25<BMI<30"", 'label': 'overweight body mass index status', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0005935'}, {'term': 'HP:0025502', 'relation': 'BQB_IS', 'collection': 'hp', 'description': 'Increased body weight with a body mass index of 25-29.9 kg per square meter.', 'label': 'Overweight', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/hp/terms?obo_id=HP:0025502'}]"	[]
normal-weight	normal	choice	undefined	normal weight	Subject is normal weight. Often defined via BMI 18.5-24.9See also `obesity index` and `body fat (percent)`.	[]	[]
underweight	underweight	choice	undefined	underweight	Subject is underweight. Often defined via BMI below 18.5See also `obesity index` and `body fat (percent)`.	"[{'term': '0005936', 'relation': 'BQB_IS', 'collection': 'efo', 'description': ""quantification of weight/height relationships below a certain threshold that classes an individual as underweight. This threshold may vary based on an individual's ethnicity but is commonly considered in European populations to correspond to a BMI < 18"", 'label': 'underweight body mass index status', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0005936'}]"	[]
body-surface-area	body surface area	measurement_type	numeric	body surface area (BSA)	Body surface area (BSA) of subject or animal. A measure of the 2-dimensional extent of the body surface (i.e., the skin). Body surface area (BSA) can be calculated by mathematical formula or from a chart that relates height to weight. BSA is often an important factor in dosing.	[{'term': 'C25157', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A measure of the 2-dimensional extent of the body surface (i.e., the skin).  Body surface area (BSA) can be calculated by mathematical formula or from a chart that relates height to weight.  BSA is often an important factor in dosing.', 'label': 'Body Surface Area', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C25157'}, {'term': '0003188', 'relation': 'BQB_IS', 'collection': 'omit', 'description': None, 'label': 'Body Surface Area', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/omit/terms?short_form=OMIT_0003188'}]	[]
waist-circumference	waist circumference	measurement_type	numeric	waist circumference	Waist circumference. A circumferential measurement of the waist, which may be classified as the area immediately below the lowest rib, at the narrowest part of the torso, midpoint between the lowest rib and the iliac crest, or immediately above the iliac crest.	[{'term': 'C100948', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A circumferential measurement of the waist, which may be classified as the area immediately below the lowest rib, at the narrowest part of the torso, midpoint between the lowest rib and the iliac crest, or immediately above the iliac crest.', 'label': 'Waist Circumference', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C100948'}, {'term': '0004342', 'relation': 'BQB_IS', 'collection': 'efo', 'description': 'The measurement around the body at the level of the\xa0ABDOMEN\xa0and just above the hip bone. The measurement is usually taken immediately after exhalation.', 'label': 'obsolete_waist circumference', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0004342'}, {'term': 'CMO:0000242', 'relation': 'BQB_IS', 'collection': 'cmo', 'description': 'Distance completely around the body in the area between the thorax and hips. In humans, this is commonly at the umbilicus.', 'label': 'waist circumference', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000242'}]	[]
waist-to-hip-ratio	waist to hip ratio	measurement_type	numeric	waist to hip ratio	Waist to hip ratio (WHR). The ratio of the abdominal circumference at the navel to maximum hip and buttocks circumference; looks at the proportion of fat stored on the body around the waist and hip. Carrying extra weight around the waist is a greater health risk than carrying extra weight around the hips or thighs.	"[{'term': 'C17651', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'The ratio of the abdominal circumference at the navel to maximum hip and buttocks circumference; looks at the proportion of fat stored on the body around the waist and hip. Carrying extra weight around the waist is a greater health risk than carrying extra weight around the hips or thighs.', 'label': 'Waist-Hip Ratio', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C17651'}, {'term': '0004343', 'relation': 'BQB_IS', 'collection': 'efo', 'description': 'The waist circumference measurement divided by the hip circumference measurement. For both men and women, a waist-to-hip ratio (WHR) of 1.0 or higher is considered ""at risk"" for undesirable health consequences, such as heart disease and ailments associated with OVERWEIGHT. A healthy WHR is 0.90 or less for men, and 0.80 or less for women. (National Center for Chronic Disease Prevention and Health Promotion, 2004)', 'label': 'waist-hip ratio', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0004343'}, {'term': 'CMO:0000020', 'relation': 'BQB_IS', 'collection': 'cmo', 'description': 'The circumference of the body at the level of the navel divided by the circumference at the widest point around the buttocks, often used to assess distribution of sub-cutaneous and intra-abdominal adipose tissue.', 'label': 'waist to hip ratio (WHR)', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000020'}]"	[]
lean-body-mass	lean body mass	measurement_type	numeric	lean body mass (LBW)	Lean body mass or fat free mass (FFM). Weight of lean body mass without additional fat. See also `percent fat`.	"[{'term': 'C71258', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'The mass of the body minus the fat.', 'label': 'Lean Body Mass', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C71258'}, {'term': '0004995', 'relation': 'BQB_IS', 'collection': 'efo', 'description': ""The weight of all organs and tissue in an individual less the weight of the individual's body fat."", 'label': 'lean body mass', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0004995'}]"	[]
body-fat-percentage	body fat percentage	measurement_type	numeric	body fat percentage	Amount of fat in percent of whole-body weight.Formerly `percent fat`	"[{'term': 'C139218', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': ""The amount of an individual's total body mass that is fat, expressed as a percent."", 'label': 'Body Fat Percentage', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C139218'}]"	[]
obesity-index	obesity index	measurement_type	numeric	obesity index	Obesity index (percent of normal body weight or ideal body weight - IBW). Values >100% or >1.0 indicate overweight, values <100% or <1.0 indicate underweight. See also `obese`.	[]	[]
fat-free-mass-index	fat free mass index	measurement_type	numeric	fat free mass index (FFMI)	Portion of the body not comprised of lipids often calculated as fat free mass equal to fat free mass divided by height squared.	[{'term': 'CMO:0000306', 'relation': 'BQB_IS', 'collection': 'cmo', 'description': 'Portion of the body not comprised of lipids often calculated as fat free mass equal to fat free mass divided by height squared.', 'label': 'fat free mass index (FFMI)', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000306'}]	[]
demographics-measurement	demographics measurement	measurement_type	abstract	demographics measurement	Demographics measurement. Information related to education, income and social factors.	[]	['education-measurement', 'work-measurement']
education-measurement	education measurement	measurement_type	abstract	education measurement	Education measurement. Information related to eduction status or duration.	[]	['education-duration']
education-duration	education duration	measurement_type	numeric	education duration	Duration of eduction in years.	[]	[]
work-measurement	work measurement	measurement_type	abstract	work measurement	Work measurement. Information related to work status or duration.	[]	['work-hours-categorial']
work-hours-categorial	work hours (categorial)	measurement_type	categorical	work hours (categorial)	Work hours categorial.	[]	['work-fulltime', 'work-no-fulltime', 'work-parttime', 'work-notime', 'work-hours-categorial-not-reported']
work-fulltime	work fulltime	choice	undefined	work fulltime	Fulltime work.	[]	[]
work-no-fulltime	work no fulltime	choice	undefined	work no fulltime	No fulltime work, i.e., part-time or no work.	[]	[]
work-parttime	work parttime	choice	undefined	work parttime	Parttime work.	[]	[]
work-notime	work notime	choice	undefined	work notime	Not working any hours.	[]	[]
lifestyle-measurement	lifestyle measurement	measurement_type	abstract	lifestyle measurement	lifestyle measurement	[]	['key-lifestyle-measurement', 'abstinence', 'consumption', 'medication-status', 'diet', 'feeding-protocol', 'fasting-status', 'metabolic-challenge', 'physiological-status', 'housing']
key-lifestyle-measurement	key lifestyle measurement	measurement_type	abstract	key lifestyle measurement	Key lifestyle measurement.	[]	['smoking-status', 'marijuana-status', 'alcohol-status', 'oral-contraceptive-status']
abstinence	abstinence	measurement_type	numeric	abstinence	Abstinence of given substance (substance is required). Use the value fields to encode duration of abstinence if provided. Key lifestyle measurements have to be encoded via dedicated measurement types found under `key lifestyle measurements`, e.g., smoking, alcohol and oral contraceptives.	[]	['abstinence-substances-all']
consumption	consumption	measurement_type	numeric	consumption	Consumption of given substance (substance is required). Key lifestyle measurements have to be encoded via dedicated measurement types found under `key lifestyle measurements`, e.g., smoking, alcohol and oral contraceptives.	[]	['consumption-substances-all']
smoking-status	smoking status	measurement_type	abstract	smoking status	smoking status	[]	['smoking', 'abstinence-smoking', 'smoking-amount-cigarettes', 'smoking-amount-packyears', 'smoking-duration']
smoking	smoking	measurement_type	boolean	smoking	Information on the smoking status. Does subject or group smoke?	[]	['smoking-yes', 'smoking-no', 'smoking-not-reported']
abstinence-smoking	abstinence smoking	measurement_type	numeric	abstinence smoking	How long no smoking?	[]	[]
smoking-amount-cigarettes	smoking amount (cigarettes)	measurement_type	numeric	smoking amount (cigarettes)	How many cigarettes are smoked?	[]	[]
smoking-amount-packyears	smoking amount (packyears)	measurement_type	numeric	smoking amount (packyears)	How many pack years smoked? The pack-year is a unit for measuring the amount a person has smoked over a long period of time. It is calculated by multiplying the number of packs of cigarettes smoked per day by the number of years the person has smoked. For example, 1 pack-year is equal to smoking 20 cigarettes (1 pack) per day for 1 year, or 40 cigarettes per day for half a year, and so on.	[]	[]
smoking-duration	smoking duration	measurement_type	numeric	smoking duration	How many years smoking?	[]	[]
marijuana-status	marijuana status	measurement_type	abstract	marijuana status	marijuana status	[]	['marijuana', 'abstinence-marijuana', 'marijuana-amount-joints', 'marijuana-duration']
marijuana	marijuana	measurement_type	boolean	marijuana	Does subject or group smoke marijuana?	[]	['marijuana-yes', 'marijuana-no', 'marijuana-not-reported']
abstinence-marijuana	abstinence marijuana	measurement_type	numeric	abstinence marijuana	How long no marijuana?	[]	[]
marijuana-amount-joints	marijuana amount (joints)	measurement_type	numeric	marijuana amount (joints)	How many joints are smoked?	[]	[]
marijuana-duration	marijuana duration	measurement_type	numeric	marijuana duration	How many years smoking marijuana?	[]	[]
alcohol-status	alcohol status	measurement_type	abstract	alcohol status	alcohol status	[]	['alcohol', 'alcohol-duration', 'abstinence-alcohol', 'alcohol-amount']
alcohol	alcohol	measurement_type	boolean	alcohol	Does subject or group drink alcohol? (use in combination with 'abstinence' and 'consumption' with choice 'alcohol' to providedetails about duration of abstinence or consumed amount). Use to encode 'drinker' or 'non-drinker'.	[]	['alcohol-yes', 'alcohol-no', 'alcohol-not-reported']
alcohol-duration	alcohol duration	measurement_type	numeric	alcohol duration	How many years alcohol?	[]	[]
abstinence-alcohol	abstinence alcohol	measurement_type	numeric	abstinence alcohol	How long no alcohol?	[]	[]
alcohol-amount	alcohol amount	measurement_type	numeric	alcohol amount	How many alcohol consumed per day? Either in amount alcohol or beverages per day.	[]	[]
medication-status	medication status	measurement_type	abstract	medication status	mediation related information	[]	['medication', 'medication-amount', 'abstinence-medication', 'medication-duration']
medication	medication	measurement_type	boolean	medication	subjects did take any medication (see also `medication (type)` and `medication (amount)`). To encode the abstinence of any medication use the measurement_type `abstinence medication`. To encode the substance given as medication use 'substance' field. Certain medications which are key lifestyle measurements have to be encoded via dedicated measurement types found under `key lifestyle measurements`, e.g., `oral contraceptives`.	[]	['medication-yes', 'medication-no', 'medication-not-reported', 'medication-substances-all']
medication-amount	medication amount	measurement_type	numeric	medication amount	type of medication taken, optionally the amount can be encoded (store duration in `medication duration`). To encode the substance given as medication use the 'substance' field. 	[]	['medication-amount-substances-all']
abstinence-medication	abstinence medication	measurement_type	numeric	abstinence medication	How long was no medication taken? Use value fields to encode duration of abstinence. If substance is provided use 'abstinence' with substance instead. Also encode the boolen 'medication' measurement type in addition.	[]	[]
medication-duration	medication duration	measurement_type	numeric	medication duration	Type of medication taken, optionally the amount can be encoded (store amount in `medication amount`)	[]	['medication-duration-substances-all']
oral-contraceptive-status	oral contraceptive status	measurement_type	abstract	oral contraceptive status	oral contraceptive status	[]	['oral-contraceptives', 'abstinence-oral-contraceptives', 'oral-contraceptives-duration']
oral-contraceptives	oral contraceptives	measurement_type	boolean	oral contraceptives	Subjects took oral contraceptives (details about the used oral contraceptive, should be encoded via 'medication amount' and/or 'medication duration'). See also'abstinence oral contraceptives' or 'oral contraceptives duration'.	[]	['oral-contraceptives-yes', 'oral-contraceptives-no', 'oral-contraceptives-not-reported']
abstinence-oral-contraceptives	abstinence oral contraceptives	measurement_type	numeric	abstinence oral contraceptives	How long no oral contraceptives?	[]	[]
oral-contraceptives-duration	oral contraceptives duration	measurement_type	numeric	oral contraceptives duration	How many years oral contraceptives?	[]	[]
diet	diet	measurement_type	categorical	diet	Special nutrition or diet of subjects, e.g., vegetarian. The customary allowance of food and drink taken by a person or an animal from day to day, particularly one especially planned to meet specific requirements of the individual, including or excluding certain items of food; 	[{'term': 'C15222', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'The customary allowance of food and drink taken by a person or an animal from day to day, particularly one especially planned to meet specific requirements of the individual, including or excluding certain items of food; a prescribed course of eating and drinking in which the amount and kind of food, as well as the times at which it is to be taken, are regulated for therapeutic purposes or selected with reference to a particular state of health.', 'label': 'Diet', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C15222'}, {'term': '0002755', 'relation': 'BQB_IS', 'collection': 'efo', 'description': 'Regular course of eating and drinking adopted by a person or animal. This does not include DIET THERAPY, a specific diet prescribed in the treatment of a disease.', 'label': 'diet', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0002755'}]	['vegetarian', 'diet-not-reported']
vegetarian	vegetarian	choice	undefined	vegetarian	Vegetarian diet. A person who eats no meat; some may eat fish, eggs, or dairy products.	[{'term': 'C92993', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A person who eats no meat; some may eat fish, eggs, or dairy products.', 'label': 'Vegetarian', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C92993'}]	[]
feeding-protocol	feeding protocol	measurement_type	categorical	feeding protocol	Feeding protocol (animal experiments). For human studies see 'diet'.	[]	['feeding-ad-libitum', 'feeding-time-restricted', 'feeding-protocol-not-reported']
feeding-ad-libitum	ad libitum	choice	undefined	ad libitum	Ad libitum feeding. Continuous access to food.	[]	[]
feeding-time-restricted	time restricted	choice	undefined	time restricted	Time restricted access to food.	[]	[]
fasting-status	fasting status	measurement_type	abstract	fasting status	Fasting information. The state of a subject that represents to what extent they have abstained from consuming food or liquid.	[{'term': 'C120460', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'The state of a subject that represents to what extent they have abstained from consuming food or liquid.', 'label': 'Fasting Status', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C120460'}]	['fasting', 'overnight-fast', 'fasting-duration']
fasting	fasting	measurement_type	boolean	fasting	Subjects were fasted (see also `overnight fast` and `fasting (duration)`).	[{'term': 'C63663', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'Abstaining from food.', 'label': 'Fasting', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C63663'}, {'term': '0002756', 'relation': 'BQB_IS', 'collection': 'efo', 'description': 'Abstaining from food.', 'label': 'fasting', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0002756'}]	['fasting-yes', 'fasting-no', 'fasting-not-reported']
overnight-fast	overnight fast	measurement_type	boolean	overnight fast	subjects were overnight fasted (see also `fasting (duration)`).	[{'term': 'C63663', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'ncit', 'description': 'Abstaining from food.', 'label': 'Fasting', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C63663'}, {'term': '0002756', 'relation': 'BQB_IS_VERSION_OF', 'collection': 'efo', 'description': 'Abstaining from food.', 'label': 'fasting', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0002756'}]	['overnight-fast-yes', 'overnight-fast-no', 'overnight-fast-not-reported']
fasting-duration	fasting (duration)	measurement_type	numeric	fasting (duration)	Duration of fasting before study. Abstaining from food.	[{'term': 'C63663', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'Abstaining from food.', 'label': 'Fasting', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C63663'}, {'term': '0002756', 'relation': 'BQB_IS', 'collection': 'efo', 'description': 'Abstaining from food.', 'label': 'fasting', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0002756'}]	[]
metabolic-challenge	metabolic challenge	measurement_type	categorical	metabolic challenge	nutritional challenge by meal or infusion	[]	['glucose-metabolism-challenge', 'meal', 'metabolic-challenge-not-reported']
glucose-metabolism-challenge	glucose metabolism challenge	measurement_type	categorical	glucose metabolism challenge	Nutritional challenge, clamp or infusion to characterize glucose metabolism	[]	['oral-glucose-tolerance-test-ogtt', 'intravenous-glucose-tolerance-test-ivgtt', 'hypoglycemic-clamp', 'hyperinsulinemic-euglycemic-clamp', 'isoglycemic-glucose-infusion', 'glucose-metabolism-challenge-not-reported']
oral-glucose-tolerance-test-ogtt	ogtt	choice	undefined	ogtt	Oral glucose tolerance test.	[]	[]
intravenous-glucose-tolerance-test-ivgtt	ivgtt	choice	undefined	ivgtt	Intravenous glucose tolerance test (IVGTT).	[]	[]
meal	meal	measurement_type	abstract	meal	Meal. Any of the occasions for eating food that occur by custom or habit at more or less fixed times.	[{'term': 'C80248', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'Any of the occasions for eating food that occur by custom or habit at more or less fixed times.', 'label': 'Meal', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C80248'}]	['mixed-meal', 'single-component-meal']
mixed-meal	mixed meal	choice	undefined	mixed meal	Mixed meal or multicomponent meal. A meal consisting of multiple components, i.e., carbohydrates, lipids, and proteins. A multiple-component food product typically containing a protein source, a vegetable, and a potato, rice or cereal-based component packaged to be served after heating, either as separate items or courses or mixed as recipe components	[{'term': 'FOODON:03400139', 'relation': 'BQB_IS', 'collection': 'foodon', 'description': None, 'label': None, 'url': 'https://www.ebi.ac.uk/ols4/ontologies/foodon/terms?obo_id=FOODON:03400139'}]	['lipid-glucose-protein-challenge']
single-component-meal	single component meal	choice	undefined	single component meal	Single component meal. A meal consisting of a single meal component, i.e., either carbohydrates, lipids or proteins.	[]	['protein-metabolic-challenge']
hypoglycemic-clamp	hypoglycemic clamp	choice	undefined	hypoglycemic clamp	hypoglycemic clamp	[]	[]
hyperinsulinemic-euglycemic-clamp	hyperinsulinemic euglycemic clamp	choice	undefined	hyperinsulinemic euglycemic clamp	hyperinsulinemic euglycemic clamp	[]	[]
isoglycemic-glucose-infusion	isoglycemic glucose infusion	choice	undefined	isoglycemic glucose infusion	isoglycemic glucose infusion	[]	[]
protein-metabolic-challenge	protein metabolic challenge	choice	undefined	protein metabolic challenge	nutritional challenge with protein	[]	['protein-solution']
protein-solution	protein solution	choice	undefined	protein solution	protein solution	[]	[]
lipid-glucose-protein-challenge	lipid-glucose-protein challenge	choice	undefined	lipid-glucose-protein challenge	lipid-glucose-protein challenge	[]	[]
physiological-status	physiological status	measurement_type	abstract	physiological status	Any change in physiological status, e.g., exercise, sleeping, day/night time.	[]	['body-temperature', 'exercise', 'exercise-categorial', 'sleeping-status', 'pregnancy-status', 'menstrual-status', 'light-dark-cycle', 'circadian-status', 'body-position']
body-temperature	body temperature	measurement_type	numeric	body temperature	Body temperature. A measurement of the temperature of the body.	[{'term': 'C174446', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'A measurement of the temperature of the body.', 'label': 'Body Temperature', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C174446'}, {'term': 'CMO:0000015', 'relation': 'BQB_IS', 'collection': 'cmo', 'description': 'The level of heat in an organism.', 'label': 'body temperature', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/cmo/terms?obo_id=CMO:0000015'}]	[]
exercise	exercise	measurement_type	boolean	exercise	Exercise performed or not? Activity that requires physical or mental exertion, especially when performed to develop or maintain fitness.	[{'term': 'C16567', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'Activity that requires physical or mental exertion, especially when performed to develop or maintain fitness.', 'label': 'Exercise', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C16567'}, {'term': '0000483', 'relation': 'BQB_IS', 'collection': 'efo', 'description': 'Activity that requires physical or mental exertion, especially when performed to develop or maintain fitness.', 'label': 'exercise', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0000483'}]	['exercise-yes', 'exercise-no', 'exercise-not-reported']
exercise-categorial	exercise (categorial)	measurement_type	categorical	exercise (categorial)	What kind of exercise was performed.Activity that requires physical or mental exertion, especially when performed to develop or maintain fitness.	[{'term': 'C16567', 'relation': 'BQB_IS', 'collection': 'ncit', 'description': 'Activity that requires physical or mental exertion, especially when performed to develop or maintain fitness.', 'label': 'Exercise', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/ncit/terms?short_form=NCIT_C16567'}, {'term': '0000483', 'relation': 'BQB_IS', 'collection': 'efo', 'description': 'Activity that requires physical or mental exertion, especially when performed to develop or maintain fitness.', 'label': 'exercise', 'url': 'http://purl.bioontology.org/ontology/EFO/efo:EFO_0000483'}]	['rest', 'light-exercise', 'moderate-exercise', 'exercise-categorial-not-reported']
rest	rest	choice	undefined	rest	Rest. Subjects rested. Often default or control group which must notbe encoded.	[]	[]
light-exercise	light exercise	choice	undefined	light exercise	Subjects performed light exercise	[]	[]
moderate-exercise	moderate exercise	choice	undefined	moderate exercise	Subjects performed moderate exercise	[]	[]
sleeping-status	sleeping status	measurement_type	categorical	sleeping status	status in regard to sleeping during study	[]	['asleep', 'awake', 'sleeping-status-not-reported']
asleep	asleep	choice	undefined	asleep	subjects are asleep during test	[{'term': 'NBO:0000067', 'relation': 'BQB_IS', 'collection': 'nbo', 'description': 'Behavior related to reduced or absent consciousness, relatively suspended sensory activity, and inactivity of nearly all voluntary muscles.', 'label': 'asleep', 'url': 'https://www.ebi.ac.uk/ols4/ontologies/nbo/terms?obo_id=NBO:0000067'}]	[]
awake	awake	choice	undefined	awake	subjects are awake during test	[]	[]
pregnancy-status	pregnancy status	measurement_type	abstract	pregnancy status	Abstract status in regard to pregnancy. Use either the boolean 'pregnant' or the categorial 'pregnant (categorial)' to encode information related to the pregnancy status.	[]	['pregnant', 'lactating', 'breastfeeding', 'pregnant-categorial']
