path	sid	error_count	sampled_codes	sampled_locations
acetaminophen/Kamali1987	3604267	6	unknown_measurement	study.json::
acetaminophen/Kim2011	PKDB00139	1	invalid_choice	study.json::
acetaminophen/Kolawole2002	PKDB00259	4	unknown_measurement	study.json::
acetaminophen/Liedtke1979	PKDB00226	1	unknown_measurement	study.json::
acetaminophen/Lowenthal1976	PKDB00213	1	timecourse_points	Lowenthal1976.xlsx:Fig1:14
acetaminophen/McGilveray1972	PKDB00147	2	unknown_measurement	study.json::
acetaminophen/Morais1992	1732127	1	unknown_measurement	study.json::
acetaminophen/Rumble1991	PKDB00221	2	unknown_measurement	study.json::
acetaminophen/Shively1975	PKDB00171	2	unknown_measurement	study.json::
acetaminophen_mice/Kim2017		1	invalid_json	study.json::
acetaminophen_mice/Liu1996		1	invalid_json	study.json::
acetaminophen_mice/Siegers1978b	643897	29	unit_dimension,unknown_intervention,unknown_route	Siegers1978b.xlsx:Fig1:25;Siegers1978b.xlsx:Fig1:26;Siegers1978b.xlsx:Fig1:27;Siegers1978b.xlsx:Fig1:28;Siegers1978b.xlsx:Fig1:29;Siegers1978b.xlsx:Fig1:30;Siegers1978b.xlsx:TabInterventions:10;Siegers1978b.xlsx:TabInterventions:11;Siegers1978b.xlsx:TabInterventions:12
albuterol/Demnati1995	PKDB01185	1	negative_value	Demnati1995.xlsx:Fig2:46
albuterol/Goldstein1987	PKDB01177	1	timecourse_points	Goldstein1987.xlsx:Fig1:3
albuterol/Hindle1992	PKDB01184	1	unknown_column	Hindle1992.xlsx:Tab2:3
albuterol/Powell1986	PKDB01176	1	timecourse_points	Powell1986.xlsx:Fig1:3
albuterol/Rey1989	PKDB01184	1	unknown_image	::
albuterol/Ward2000	PKDB01202	1	timecourse_points	Ward2000.xlsx:Fig1:108
aliskiren/Ayalasomayajula2008a	PKDB00917	6	unknown_measurement	Ayalasomayajula2008a.xlsx:Tab2:6;Ayalasomayajula2008a.xlsx:Tab2:11;Ayalasomayajula2008a.xlsx:Tab2:16;Ayalasomayajula2008a.xlsx:Tab2:21;Ayalasomayajula2008a.xlsx:Tab2:26;Ayalasomayajula2008a.xlsx:Tab2:31
aliskiren/Balcarek2014	PKDB00933	1	timecourse_points	Balcarek2014.xlsx:Fig4:60
aliskiren/Tapaninen2010	PKDB00918	2	unknown_measurement	Tapaninen2010.xlsx:Tab1:9;Tapaninen2010.xlsx:Tab1:19
aliskiren/Tapaninen2011	PKDB00865	1	unknown_image	::
aliskiren/Vaidyanathan2006	PKDB00681	16	unknown_measurement	Vaidyanathan2006.xlsx:Tab2:7;Vaidyanathan2006.xlsx:Tab2:13;Vaidyanathan2006.xlsx:Tab2:19;Vaidyanathan2006.xlsx:Tab2:25;Vaidyanathan2006.xlsx:Tab2:31;Vaidyanathan2006.xlsx:Tab2:37;Vaidyanathan2006.xlsx:Tab2:43;Vaidyanathan2006.xlsx:Tab2:49;Vaidyanathan2006.xlsx:Tab3:7;Vaidyanathan2006.xlsx:Tab3:13
aliskiren/Vaidyanathan2007	PKDB00868	8	unknown_measurement	Vaidyanathan2007.xlsx:Tab2:9;Vaidyanathan2007.xlsx:Tab2:17;Vaidyanathan2007.xlsx:Tab2:25;Vaidyanathan2007.xlsx:Tab2:33;Vaidyanathan2007.xlsx:Tab2:41;Vaidyanathan2007.xlsx:Tab2:49;Vaidyanathan2007.xlsx:Tab4:9;Vaidyanathan2007.xlsx:Tab4:17
aliskiren/Vaidyanathan2007a	PKDB00869	3	unknown_measurement	Vaidyanathan2007a.xlsx:Tab2:9;Vaidyanathan2007a.xlsx:Tab2:17;Vaidyanathan2007a.xlsx:Tab2:25
aliskiren/Vaidyanathan2008a	PKDB00935	6	unknown_measurement	Vaidyanathan2008a.xlsx:Tab2:7;Vaidyanathan2008a.xlsx:Tab2:13;Vaidyanathan2008a.xlsx:Tab2:19;Vaidyanathan2008a.xlsx:Tab2:25;Vaidyanathan2008a.xlsx:Tab2:31;Vaidyanathan2008a.xlsx:Tab2:37
aliskiren/Vaidyanathan2007b	PKDB00870	6	unknown_measurement	Vaidyanathan2007b.xlsx:Tab3:31;Vaidyanathan2007b.xlsx:Tab3:39;Vaidyanathan2007b.xlsx:Tab3:47;Vaidyanathan2007b.xlsx:Tab3:55;Vaidyanathan2007b.xlsx:Tab3:63;Vaidyanathan2007b.xlsx:Tab3:71
aliskiren/Waldmeier2007	PKDB00872	3	unknown_measurement	Waldmeier2007.xlsx:Tab1:9;Waldmeier2007.xlsx:Tab1:17;Waldmeier2007.xlsx:Tab1:25
aliskiren/Zhao2006	PKDB00873	2	unknown_measurement	Zhao2006.xlsx:Tab2:8;Zhao2006.xlsx:Tab2:15
apixaban/Frost2013a	PKDB01147	1	unknown_image	::
apixaban/Frost2014a	PKDB01167	18	unknown_measurement	Frost2014a.xlsx:Tab3:10;Frost2014a.xlsx:Tab3:11;Frost2014a.xlsx:Tab3:12;Frost2014a.xlsx:Tab3:14;Frost2014a.xlsx:Tab3:15;Frost2014a.xlsx:Tab3:16;Frost2014a.xlsx:Tab3:25;Frost2014a.xlsx:Tab3:26;Frost2014a.xlsx:Tab3:27;Frost2014a.xlsx:Tab3:29
apixaban/Frost2015	PKDB01098	1	negative_value	Frost2015.xlsx:Fig4:734
apixaban/Frost2018	PKDB01151	336	unit_dimension,unknown_measurement,unknown_method	Frost2018.xlsx:Fig3:3;Frost2018.xlsx:Fig3:4;Frost2018.xlsx:Fig3:5;Frost2018.xlsx:Fig3:6;Frost2018.xlsx:Fig3:8;Frost2018.xlsx:Fig3:9
apixaban/Kreutz2017	PKDB01097	90	unknown_measurement	Kreutz2017.xlsx:Fig3:3;Kreutz2017.xlsx:Fig3:4;Kreutz2017.xlsx:Fig3:5;Kreutz2017.xlsx:Fig3:6;Kreutz2017.xlsx:Fig3:7;Kreutz2017.xlsx:Fig3:8;Kreutz2017.xlsx:Fig3:9;Kreutz2017.xlsx:Fig3:10;Kreutz2017.xlsx:Fig3:11;Kreutz2017.xlsx:Fig3:12
apixaban/Wang2016	PKDB01141	1	unknown_column	Wang2016.xlsx:Tab3:3
atorvastatin/Lins2003		1	invalid_json	reference.json::
atorvastatin/Lilja1999	10460065	1	unknown_image	::
caffeine/Blanchard1982	PKDB00127	1	timecourse_points	Blanchard1982.xlsx:Fig1:14
caffeine/Brazier1980	PKDB00438	1	duplicate_identifier	::
caffeine/Calatayud1995	PKDB00441	16	invalid_choice	Calatayud1995.xlsx:TabGroups:10;Calatayud1995.xlsx:TabIndividuals:3;Calatayud1995.xlsx:TabIndividuals:7;Calatayud1995.xlsx:TabIndividuals:9;Calatayud1995.xlsx:TabIndividuals:11;Calatayud1995.xlsx:TabIndividuals:14;Calatayud1995.xlsx:TabIndividuals:19;Calatayud1995.xlsx:TabIndividuals:21;Calatayud1995.xlsx:TabIndividuals:23
caffeine/Cheng1990	PKDB00018	1	invalid_choice	Cheng1990.xlsx:TabIndividuals:15
caffeine/Chia2016	PKDB00448	1	dataset_dimensions	Chia2016.xlsx:TabData:3
caffeine/Desmond1980	PKDB00384	1	unknown_column	study.json::
caffeine/Gunes2009	PKDB00455	6	unknown_measurement	Gunes2009.xlsx:TabGroups:17;Gunes2009.xlsx:TabGroups:18;Gunes2009.xlsx:TabGroups:19;Gunes2009.xlsx:TabGroups:20;Gunes2009.xlsx:TabGroups:21;Gunes2009.xlsx:TabGroups:22
caffeine/Hashiguchi1992	PKDB00459	1	dataset_dimensions	Hashiguchi1992.xlsx:TabData:3
caffeine/Holstege1989	PKDB00461	1	timecourse_points	Holstege1989.xlsx:Fig1:53
caffeine/Holstege1993	PKDB00462	8	unknown_measurement	Holstege1993.xlsx:Tab1A:11;Holstege1993.xlsx:Tab1A:12;Holstege1993.xlsx:Tab1A:13;Holstege1993.xlsx:Tab1A:14;Holstege1993.xlsx:Tab1A:15;Holstege1993.xlsx:Tab1A:16;Holstege1993.xlsx:Tab1A:17;Holstege1993.xlsx:Tab1A:18
caffeine/JodynisLiebert2004	PKDB00382	3	missing_unit	JodynisLiebert2004.xlsx:Tab2:15;JodynisLiebert2004.xlsx:Tab2:16;JodynisLiebert2004.xlsx:Tab2:17
caffeine/Jost1987	PKDB00463	2	unknown_measurement	Jost1987.xlsx:TabGroups:8;Jost1987.xlsx:TabGroups:23
caffeine/IKP243	IKP243	1	pk_zero_curve	IKP243.xlsx:TabTimecourses:957
caffeine/KinzigSchippers1999	PKDB00467	1	timecourse_points	KinzigSchippers1999.xlsx:Fig2:3
caffeine/Kukongviriyapan2004	PKDB00469	1	unknown_column	study.json::
caffeine/Lammers2018	PKDB00471	1	dataset_dimensions	Lammers2018.xlsx:TabData:3
caffeine/McDonagh1991	PKDB00474	1	unknown_image	::
caffeine/Matthaei2016	PKDB00473	3	unknown_measurement	Matthaei2016.xlsx:TabGroups:62;Matthaei2016.xlsx:TabGroups:63
caffeine/McQuilkin1995	PKDB00475	1	timecourse_points	McQuilkin1995.xlsx:Fig2:12
caffeine/Millard2018	PKDB00381	2	unknown_measurement	Millard2018.xlsx:TabIndividuals:3;Millard2018.xlsx:TabIndividuals:4
caffeine/Scott1989	PKDB00486	1	timecourse_points	Scott1989.xlsx:Fig1:16
caffeine/Tian2019	PKDB00490	10	unknown_measurement	Tian2019.xlsx:TabGroups:13;Tian2019.xlsx:TabGroups:21
caffeine/Wahllaender1990	PKDB00493	2	unknown_measurement	Wahllaender1990.xlsx:TabGroups:9;Wahllaender1990.xlsx:TabGroups:10
canagliflozin/Chen2015	PKDB00858	6	unknown_measurement	Chen2015.xlsx:Tab2:8;Chen2015.xlsx:Tab2:16;Chen2015.xlsx:Tab2:24;Chen2015.xlsx:Tab2:32;Chen2015.xlsx:Tab2:40;Chen2015.xlsx:Tab2:48
canagliflozin/Devineni2014	PKDB00879	1	unknown_image	::
canagliflozin/Devineni2015a	PKDB00876	18	unknown_measurement	Devineni2015a.xlsx:Tab1:8;Devineni2015a.xlsx:Tab1:18;Devineni2015a.xlsx:Tab1:28;Devineni2015a.xlsx:Tab1:38;Devineni2015a.xlsx:Tab1:48;Devineni2015a.xlsx:Tab1:58;Devineni2015a.xlsx:Tab1:68;Devineni2015a.xlsx:Tab1:78;Devineni2015a.xlsx:Tab1:88;Devineni2015a.xlsx:Tab1:97
canagliflozin/Devineni2015b	PKDB00877	1	timecourse_points	Devineni2015b.xlsx:Tab1A:14
canagliflozin/Devineni2015c	PKDB00881	1	unknown_image	::
canagliflozin/Devineni2015d	PKDB00882	1	unknown_image	::
canagliflozin/Devineni2015e	PKDB00883	1	timecourse_points	Devineni2015e.xlsx:Fig1:18
canagliflozin/Devineni2016	PKDB00884	1	unknown_image	::
canagliflozin/Iijima2015	PKDB00885	1	invalid_table	Iijima2015.xlsx:Tab2:
canagliflozin/Inagaki2014	PKDB00878	4	unknown_measurement	Inagaki2014.xlsx:Tab3:7;Inagaki2014.xlsx:Tab3:18;Inagaki2014.xlsx:Tab3:29;Inagaki2014.xlsx:Tab3:40
canagliflozin/Sha2014	PKDB00890	1	timecourse_points	Sha2014.xlsx:Fig7:3
captopril/Drayer1983	PKDB01062	4	negative_value	Drayer1983.xlsx:TabText2:4;Drayer1983.xlsx:TabText2:10;Drayer1983.xlsx:TabText2:16;Drayer1983.xlsx:TabText2:22
captopril/Duchin1982	PKDB00817	1	unknown_image	::
captopril/Ohman1985	PKDB00829	48	unknown_measurement	Ohman1985.xlsx:Fig1:54;Ohman1985.xlsx:Fig1:55;Ohman1985.xlsx:Fig1:56;Ohman1985.xlsx:Fig1:57;Ohman1985.xlsx:Fig1:58;Ohman1985.xlsx:Fig1:59;Ohman1985.xlsx:Fig1:60;Ohman1985.xlsx:Fig1:61;Ohman1985.xlsx:Fig1:62;Ohman1985.xlsx:Fig1:63
captopril/Singhvi1982	PKDB00836	1	timecourse_points	Singhvi1982.xlsx:Tab2:3
chlorzoxazone/Puris2019	PKDB00642	1	unknown_image	::
chlorzoxazone/Vesell1995	PKDB00644	1	unknown_column	Vesell1995.xlsx:Tab1:3
cholesterol/Mol1986	PKDB00513	1	timecourse_points	Mol1986.xlsx:Tab1:3
cholesterol/Moelgaard1988	PKDB00512	1	timecourse_points	Moelgaard1988.xlsx:Fig1:3
cholesterol/Ntanios1999	PKDB00375	1	unknown_image	::
cholesterol/Sivkov2021	PKDB00673	1	reference_mismatch	::
cholesterol/Saito1991	PKDB00654	1	timecourse_points	Saito1991.xlsx:Tab9:3
cholesterol/template		1	invalid_json	study.json::
cholesterol/Stern2000	10868312	1	timecourse_points	Stern2000.xlsx:Tab1:4
codeine/Chen1989_Thesis190-224	Chen1989ThesisChapter4	1	invalid_expression	Chen1989_Thesis190-224.xlsx:Tab431:3
codeine/Chen1991	PKDB00091	1	invalid_expression	Chen1991.xlsx:TabA:3
codeine/He2008	PKDB00093	1	timecourse_points	He2008.xlsx:Tab2:3
codeine/Lafolie1996	PKDB00097	1	invalid_expression	Lafolie1996.xlsx:Tab1:3
codeine/Loetsch2006	PKDB00099	1	invalid_expression	Loetsch2006.xlsx:Tab1:3
codeine/Mikus1997	PKDB00100	1	invalid_expression	Mikus1997.xlsx:Tab1:3
codeine/Molanaei2010	PKDB00103	1	invalid_expression	Molanaei2010.xlsx:Tab1:4
codeine/Sindrup1996	PKDB00107	1	invalid_expression	Sindrup1996.xlsx:Tab1:3
codeine/Vree1992	PKDB00109	1	invalid_expression	Vree1992.xlsx:Tab1A:3
creatinine/Chow1985		1	study_name	::
creatinine/Bauer1982	Bauer1982	1	unknown_column	Bauer1982.xlsx:Fig1:3
creatinine/Jacobsen1980	Jacobsen1980	1	invalid_table	Jacobsen1980.xlsx:Fig2:
creatinine/Rawson2002	Rawson2002	1	invalid_table	Rawson2002.xlsx:TabIndividuals:
creatinine/Schedel1999	Schedel1999	1	timecourse_metadata	Schedel1999.xlsx:Fig1:11
creatinine/Steenge2000	Steenge2000	1	invalid_table	Steenge2000.xlsx:Fig3:
dapagliflozin/Boulton2013	PKDB00838	1	timecourse_points	Boulton2013.xlsx:Fig1:16
dapagliflozin/Hwang2022a	PKDB00923	1	unknown_image	::
dapagliflozin/Kasichayanula2011	PKDB00841	1	timecourse_points	Kasichayanula2011.xlsx:Fig1:3
dapagliflozin/Kasichayanula2012	PKDB00925	1	duplicate_identifier	::
dapagliflozin/Kasichayanula2013	PKDB00844	1	invalid_choice	Kasichayanula2013.xlsx:TabGroups:25
dapagliflozin/Obermeier2010	PKDB00848	1	timecourse_points	Obermeier2010.xlsx:Fig6:3
dapagliflozin/vanderAartvanderBeek2020	PKDB00929	1	invalid_choice	vanderAartvanderBeek2020.xlsx:TabGroups:7
dextromethorphan/Chen2017	PKDB00577	1	invalid_table	Chen2017.xlsx:Fig2A:
dextromethorphan/Edwards2017	PKDB00496	1	invalid_expression	Edwards2017.xlsx:TabGroups:3
dextromethorphan/Gaedigk2018		1	invalid_json	study.json::
dextromethorphan/Gazzaz2018	29633238	1	invalid_choice,reversed_range	Gazzaz2018.xlsx:Fig3_median:84;study.json::
dextromethorphan/Hou1996	8612385	1	string_type	study.json::
dextromethorphan/Montane2013	PKDB00589	1	string_type	study.json::
dextromethorphan/Myrand2008	PKDB00497	635	unknown_substance	Myrand2008.xlsx:Fig6:262;Myrand2008.xlsx:Fig6:263;Myrand2008.xlsx:Fig6:264;Myrand2008.xlsx:Fig6:265;Myrand2008.xlsx:Fig6:266;Myrand2008.xlsx:Fig6:267;Myrand2008.xlsx:Fig6:268;Myrand2008.xlsx:Fig6:269;Myrand2008.xlsx:Fig6:270;Myrand2008.xlsx:Fig6:271
dextromethorphan/Tamminga2001	11417446	1	pk_zero_curve	Tamminga2001.xlsx:Fig1:66
dextromethorphan/Frank2009	PKDB00582	1	timecourse_points	Frank2009.xlsx:Tab148:17
diazepam/DeSilva1966	PKDB00272	1	duplicate_column	DeSilva1966.xlsx:Fig6:
diazepam/Giles1981	PKDB00276	1	duplicate_column	Giles1981.xlsx:Fig1:
diazepam/Kaplan1973	PKDB00270	1	invalid_expression	Kaplan1973.xlsx:TabIndividuals:3
diazepam/Lamson2011	PKDB00285	1	timecourse_points	Lamson2011.xlsx:Fig3:3
diazepam/Klotz1975	PKDB00274	1	timecourse_points	Klotz1975.xlsx:Fig3:3
dulaglutide/Barrington2011a	PKDB01009	1	timecourse_points	Barrington2011a.xlsx:Fig2:13
dulaglutide/Chen2018	PKDB01010	1	unknown_image	::
dulaglutide/Dungan2014	PKDB01011	1	unknown_image	::
dulaglutide/FDAGBDO	PKDB01091	1	timecourse_points	FDAGBDO.xlsx:Fig45:3
dulaglutide/Gerstein2019	PKDB01015	1	missing	study.json::
dulaglutide/Pratley2018	PKDB01019	2	duplicate_identifier	::
dulaglutide/Umpierrez2011	PKDB01123	1	missing	study.json::
dulaglutide/Umpierrez2014	PKDB01124	1	timecourse_points	Umpierrez2014.xlsx:Fig2a:3
dulaglutide/Weinstock2015	PKDB01131	1	duplicate_identifier	::
dulaglutide/Wysham2014	PKDB01132	1	timecourse_points	Wysham2014.xlsx:Fig2a:3
dulaglutide/Xu2022	PKDB01020	1	unknown_image	::
edoxaban/Brown2015	PKDB01094	1	invalid_table	Brown2015.xlsx:Tab2:
edoxaban/Chen2017b	PKDB01074	9	unknown_measurement	Chen2017b.xlsx:Tab2:5;Chen2017b.xlsx:Tab2:16;Chen2017b.xlsx:Tab2:27;Chen2017b.xlsx:Tab4:4;Chen2017b.xlsx:Tab4:12;Chen2017b.xlsx:Tab4:20;Chen2017b.xlsx:Tab4:28;Chen2017b.xlsx:Tab4:36;Chen2017b.xlsx:Tab4:44
edoxaban/Matsushima2013	PKDB01095	1	unknown_image	::
edoxaban/Mendell2012	PKDB01133	1	unknown_image	::
edoxaban/Mendell2011	PKDB01075	1	unknown_image	::
edoxaban/Mendell2013b	PKDB01128	1	unknown_image	::
edoxaban/Mendell2015	PKDB01076	1	unknown_image	::
edoxaban/Mikus2019	PKDB01138	1	unknown_image	::
edoxaban/Ogata2010	PKDB01077	1	unknown_image	::
edoxaban/Metze2021	PKDB01137	1	timecourse_points	Metze2021.xlsx:Fig1:308
edoxaban/Rohr2024	PKDB01101	1	unknown_image	::
empagliflozin/Chen2015a	PKDB00930	1	unknown_image	::
empagliflozin/Heise2013	PKDB00914	1	timecourse_points	Heise2013.xlsx:Fig1:3
empagliflozin/Heise2013a	PKDB00915	1	timecourse_points	Heise2013a.xlsx:Fig1:3
empagliflozin/Jiang2023b	PKDB01000	2	unknown_measurement	Jiang2023b.xlsx:Tab2:8;Jiang2023b.xlsx:Tab2:16
empagliflozin/Macha2013e	PKDB01001	28	missing_unit	Macha2013e.xlsx:Fig3:32;Macha2013e.xlsx:Fig3:33;Macha2013e.xlsx:Fig3:34;Macha2013e.xlsx:Fig3:35;Macha2013e.xlsx:Fig3:36;Macha2013e.xlsx:Fig3:37;Macha2013e.xlsx:Fig3:38;Macha2013e.xlsx:Fig3:39;Macha2013e.xlsx:Fig3:40;Macha2013e.xlsx:Fig3:41
empagliflozin/Macha2014f	PKDB00939	224	unknown_individual	Macha2014f.xlsx:Fig2:3;Macha2014f.xlsx:Fig2:4;Macha2014f.xlsx:Fig2:5;Macha2014f.xlsx:Fig2:6;Macha2014f.xlsx:Fig2:7;Macha2014f.xlsx:Fig2:8;Macha2014f.xlsx:Fig2:9;Macha2014f.xlsx:Fig2:10;Macha2014f.xlsx:Fig2:11;Macha2014f.xlsx:Fig2:12
empagliflozin/Macha2014b	PKDB00938	1	timecourse_points	Macha2014b.xlsx:Tab2A:27
empagliflozin/Macha2015b	PKDB01156	1	timecourse_points	Macha2015b.xlsx:Fig1:35
empagliflozin/Sarashina2014	PKDB00942	1	unknown_image	::
empagliflozin/Seman2013	PKDB00943	1	split_length	::
empagliflozin/Zhao2015	PKDB00932	1	timecourse_points	Zhao2015.xlsx:Fig1:3
enalapril/Baba1990	PKDB00740	1	invalid_choice	Baba1990.xlsx:TabGroups:18
enalapril/Dickstein1987a	PKDB00770	1	invalid_table	Dickstein1987a.xlsx:Fig1:
enalapril/Donnelly1990	PKDB00771	1	unknown_image	::
enalapril/ElungJensen2001	ElungJensen2001	1	invalid_number	::
enalapril/Fruncillo1987	PKDB00773	1	timecourse_points	Fruncillo1987.xlsx:Fig2:3
enalapril/Her2021	PKDB00775	1	timecourse_points	Her2021.xlsx:Fig3:39
enalapril/Hockings1986	PKDB00776	1	unknown_image	::
enalapril/Lowenthal1985	PKDB00782	1	unknown_image	::
enalapril/Marzo2002	PKDB00784	2	int_type,string_type	study.json::
enalapril/Ohnishi1989	PKDB00791	3	unknown_measurement	Ohnishi1989.xlsx:Tab1:8;Ohnishi1989.xlsx:Tab2:8;Ohnishi1989.xlsx:Tab2:16
enalapril/Schwartz1985	PKDB00794	70	unknown_individual	Schwartz1985.xlsx:Fig1:3;Schwartz1985.xlsx:Fig1:4;Schwartz1985.xlsx:Fig1:5;Schwartz1985.xlsx:Fig1:6;Schwartz1985.xlsx:Fig1:7;Schwartz1985.xlsx:Fig1:8;Schwartz1985.xlsx:Fig1:9;Schwartz1985.xlsx:Fig1:10;Schwartz1985.xlsx:Fig1:11;Schwartz1985.xlsx:Fig1:13
enalapril/Stage2017	PKDB00797	1	missing	study.json::
ethinylestradiol/Ankrom2020	PKDB00744	1	timecourse_points	Ankrom2020.xlsx:Fig3:45
ethinylestradiol/Back1987a	PKDB01087	1	timecourse_metadata	Back1987a.xlsx:Fig1:27
galactose/Wynne1989	Wynne1989	260	unknown_intervention	Wynne1989.xlsx:TabA:3;Wynne1989.xlsx:TabA:4;Wynne1989.xlsx:TabA:5;Wynne1989.xlsx:TabA:6;Wynne1989.xlsx:TabA:7;Wynne1989.xlsx:TabA:8;Wynne1989.xlsx:TabA:9;Wynne1989.xlsx:TabA:10;Wynne1989.xlsx:TabA:11;Wynne1989.xlsx:TabA:12
ethinylestradiol/vandenHeuvel2005	PKDB00762	1	timecourse_points	vandenHeuvel2005.xlsx:Fig3:58
glimepiride/Badian1996	PKDB00908	1	timecourse_points	Badian1996.xlsx:Fig5:3
glimepiride/Niemi2002	PKDB00952	6	negative_value	Niemi2002.xlsx:Tab2:3;Niemi2002.xlsx:Tab2:4;Niemi2002.xlsx:Tab2:8;Niemi2002.xlsx:Tab2:9;Niemi2002.xlsx:Tab2:13;Niemi2002.xlsx:Tab2:14
glimepiride/Suzuki2006	PKDB00956	1	invalid_table	Suzuki2006.xlsx:Tab2A:
glucose/Alford1976	4593614	1	missing	study.json::
glucose/Basu1996	8636416	1	missing	study.json::
glucose/Bagdade1971	5115750	1	timecourse_points	Bagdade1971.xlsx:Tab1Mean:3
glucose/Blackard1970	5443433	1	missing	study.json::
glucose/Blackard1971	5549213	1	missing	study.json::
glucose/Bonadonna1993a		1	invalid_json	reference.json::
glucose/Bondy1956	13319484	1	missing	study.json::
glucose/Cahill1966	5926444	1	unknown_field	::
glucose/Coon1992		1	invalid_json	reference.json::
glucose/Coppack1989b		1	invalid_json	study.json::
glucose/Coppack1996		1	invalid_json	reference.json::
glucose/Crockford1966	5216127	1	missing	study.json::
glucose/DallaMan2006	17946394	1	missing_characteristics	study.json::
glucose/DeFronzo1981		1	invalid_json	reference.json::
glucose/DeFronzo1983	6336701	1	missing	study.json::
glucose/Degn2004	PKDB00070	1	pk_zero_curve	Degn2004.xlsx:Fig1A:3
glucose/Ferrannini1983	6344651	1	missing	study.json::
glucose/Ferrannini1979	PKDB00072	1	timecourse_points	Ferrannini1979.xlsx:Fig1:3
glucose/Frayn1993		1	invalid_json	reference.json::
glucose/Gerich1993		1	invalid_json	study.json::
glucose/Glauber1986		1	study_name	::
glucose/Goodner1969		1	invalid_json	reference.json::
glucose/Gottesman1982		1	invalid_json	study.json::
glucose/Gottesman1984	6363173	1	unknown_field	::
glucose/Gray1982	6759226	1	missing	study.json::
glucose/Grill1979		1	invalid_json	reference.json::
glucose/Groop1989		1	invalid_json	reference.json::
glucose/Hed1979	371340	1	missing	study.json::
glucose/Henderson1991		1	study_name	::
glucose/Hoekstra1982		1	invalid_json	reference.json::
glucose/Jackson1983		1	invalid_json	reference.json::
glucose/Jackson1984		1	invalid_json	reference.json::
glucose/Jackson1986		1	invalid_json	reference.json::
glucose/Jenssen1993	8404995	1	unknown_field	::
glucose/Jenssen1990	2200805	1	missing	study.json::
glucose/Jones1997		1	invalid_json	reference.json::
glucose/Karam1968		1	invalid_json	study.json::
glucose/Kelley1988		1	invalid_json	reference.json::
glucose/Kelley1994b		1	invalid_json	reference.json::
glucose/Kerkshoffs1998		1	study_name	::
glucose/Jones1998	PKDB00079	2	unknown_measurement	study.json::
glucose/Kjems2001	PKDB00080	1	timecourse_points	Kjems2001.xlsx:Fig3:3
glucose/Kraas1974	4409874	1	missing	study.json::
glucose/Laakso1990		1	invalid_json	reference.json::
glucose/Laakso1990a		1	invalid_json	reference.json::
glucose/Lerner1971		1	invalid_json	reference.json::
glucose/Magnusson1992		1	invalid_json	reference.json::
glucose/Malin2013	24045867	1	missing_dosing_field	study.json::
glucose/McMahon1989		1	invalid_json	reference.json::
glucose/Meier2003	12764578	1	missing	study.json::
glucose/Meier2004	14988249	1	missing	study.json::
glucose/Meier2004b	15561915	1	missing	study.json::
glucose/Meyer2002	11788375	1	unknown_field	::
glucose/Nauck1993a	8473405	1	missing	study.json::
